section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",62,"62 Computer programming, consultancy and related activities",622,62.2 Computer consultancy and computer facilities management activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 62 Computer programming, consultancy and related activities 62.2 Computer consultancy and computer facilities management activities"
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",69,69 Legal and accounting activities,692,"69.2 Accounting, bookkeeping and auditing activities; tax consultancy","N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 69 Legal and accounting activities 69.2 Accounting, bookkeeping and auditing activities; tax consultancy"
C,C MANUFACTURING,24,24 Manufacture of basic metals,245,24.5 Casting of metals,"C MANUFACTURING 24 Manufacture of basic metals 24.5 Casting of metals This group includes activities of foundries employing different casting processes to produce castings with all ferrous and non-ferrous metal alloys. Subsequent trimming or descaling of the castings might be included, but without any further processing.

This group includes the manufacture of castings used in various industries."
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,70 Activities of head offices and management consultancy,702,70.2 Business and other management consultancy activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 70 Activities of head offices and management consultancy 70.2 Business and other management consultancy activities"
T,T OTHER SERVICE ACTIVITIES,95,"95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",951,95.1 Repair and maintenance of computers and communication equipment,"T OTHER SERVICE ACTIVITIES 95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles 95.1 Repair and maintenance of computers and communication equipment"
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",73,"73 Activities of advertising, market research and public relations",731,73.1 Advertising,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 73 Activities of advertising, market research and public relations 73.1 Advertising"
L,L FINANCIAL AND INSURANCE ACTIVITIES,66,66 Activities auxiliary to financial services and insurance activities,661,"66.1 Activities auxiliary to financial services, except insurance and pension funding","L FINANCIAL AND INSURANCE ACTIVITIES 66 Activities auxiliary to financial services and insurance activities 66.1 Activities auxiliary to financial services, except insurance and pension funding This group includes the furnishing of physical or electronic marketplaces for the purpose of facilitating the buying and selling of stocks, stock options, bonds or commodity contracts, and trading of crypto-assets with liabilities. It also includes other miscellaneous services, including the provision of financial advisory services, asset management or the provision of equity and debt-based crowdfunding."
C,C MANUFACTURING,16,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",161,16.1 Sawmilling and planing of wood; processing and finishing of wood,"C MANUFACTURING 16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials 16.1 Sawmilling and planing of wood; processing and finishing of wood"
F,F CONSTRUCTION,42,42 Civil engineering,421,42.1 Construction of roads and railways,F CONSTRUCTION 42 Civil engineering 42.1 Construction of roads and railways
C,C MANUFACTURING,10,10 Manufacture of food products,101,10.1 Processing and preserving of meat and production of meat products,C MANUFACTURING 10 Manufacture of food products 10.1 Processing and preserving of meat and production of meat products
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",72,72 Scientific research and development,722,72.2 Research and experimental development on social sciences and humanities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 72 Scientific research and development 72.2 Research and experimental development on social sciences and humanities"
